time,data
1,7
2,0
3,2
4,6
5,6
6,0
7,0
8,5
9,3
10,2
11,1
12,5
13,3
14,3
15,1
16,0
17,5
18,2
19,0
20,6
21,2
22,4
23,4
24,1
25,1
26,2
27,3
28,6
29,0
30,1
31,0
32,3
33,4
34,4
35,5
36,1
37,2
38,2
39,0
40,2
41,3
42,3
43,1
44,0
45,0
46,4
47,2
48,4
49,7
50,0
51,3
52,5
53,0
54,0
55,2
56,1
57,4
58,2
59,0
60,0
61,2
62,4
63,3
64,5
65,0
66,1
67,1
68,1
69,4
70,4
71,6
72,0
73,0
74,3
75,1
76,4
77,8
78,8
79,3
80,1
81,0
82,3
83,5
84,0
85,1
86,5
87,1
88,2
89,1
90,8
91,1
92,0
93,3
94,1
95,0
96,5
97,5
98,0
99,1
100,0
101,0
102,5
103,2
104,1
105,3
106,5
107,6
108,2
109,2
110,0
111,1
112,5
113,1
114,3
115,1
116,0
117,0
118,9
119,4
120,0
121,2
122,1
123,1
124,1
125,4
126,5
127,2
128,3
129,2
130,2
131,0
132,0
133,0
134,1
135,2
136,2
137,4
138,1
139,2
140,0
141,1
142,3
143,2
144,1
145,0
146,0
147,1
148,1
149,3
150,9
151,6
152,1
153,0
154,2
155,0
156,0
157,1
158,0
159,2
160,4
161,3
162,0
163,1
164,0
165,1
166,1
167,2
168,0
169,7
170,2
171,2
172,0
173,1
174,0
175,9
176,0
177,1
178,1
179,6
180,1
181,2
182,7
183,3
184,0
185,5
186,3
187,1
188,8
189,7
190,1
191,3
192,0
193,4
194,3
195,0
196,4
197,1
198,4
199,0
200,5
201,2
202,3
203,5
204,1
205,1
206,1
207,4
208,2
209,4
210,0
211,1
212,0
213,0
214,0
215,2
216,4
217,0
218,3
219,1
220,2
221,0
222,3
223,8
224,0
225,0
226,0
227,1
228,1
229,4
230,1
231,2
232,1
233,5
234,2
235,2
236,1
237,0
238,0
239,4
240,3
241,2
242,0
243,0
244,6
245,1
246,0
247,0
248,0
249,0
250,3
251,6
252,3
253,1
254,2
255,7
256,3
257,2
258,1
259,2
260,0
261,3
262,0
263,2
264,2
265,0
266,1
267,1
268,0
269,2
270,2
271,2
272,0
273,2
274,0
275,2
276,4
277,3
278,0
279,1
280,0
281,3
282,0
283,6
284,0
285,0
286,5
287,2
288,4
289,2
290,0
291,4
292,0
293,4
294,4
295,4
296,1
297,3
298,1
299,1
300,4
301,3
302,0
303,4
304,0
305,0
306,5
307,0
308,0
309,1
310,2
311,4
312,0
313,2
314,1
315,0
316,1
317,1
318,0
319,1
320,0
321,1
322,5
323,5
324,0
325,1
326,0
327,5
328,0
329,2
330,5
331,3
332,1
333,0
334,2
335,0
336,3
337,0
338,3
339,0
340,2
341,3
342,1
343,0
344,0
345,6
346,3
347,0
348,1
349,2
350,1
351,0
352,0
353,7
354,2
355,3
356,3
357,0
358,4
359,1
360,2
361,1
362,0
363,0
364,0
365,0
366,7
367,0
368,0
369,0
370,0
371,3
372,0
373,1
374,7
375,3
376,0
377,0
378,1
379,1
380,0
381,0
382,0
383,3
384,5
385,2
386,2
387,0
388,3
389,2
390,1
391,3
392,0
393,0
394,2
395,0
396,3
397,6
398,4
399,3
400,0
401,2
402,2
403,0
404,7
405,0
406,8
407,2
408,6
409,2
410,1
411,1
412,0
413,0
414,0
415,0
416,0
417,0
418,2
419,2
420,1
421,3
422,1
423,0
424,0
425,2
426,1
427,3
428,3
429,2
430,8
431,6
432,0
433,5
434,0
435,2
436,2
437,0
438,4
439,0
440,1
441,4
442,0
443,1
444,0
445,0
446,0
447,3
448,0
449,4
450,7
451,0
452,2
453,0
454,1
455,0
456,0
457,0
458,0
459,0
460,0
461,1
462,1
463,1
464,1
465,2
466,0
467,1
468,0
469,0
470,3
471,2
472,1
473,4
474,0
475,1
476,0
477,2
478,4
479,2
480,0
481,1
482,7
483,2
484,6
485,0
486,2
487,6
488,3
489,1
490,3
491,0
492,0
493,4
494,2
495,4
496,3
497,7
498,2
499,2
500,0
501,3
502,0
503,4
504,2
505,0
506,0
507,0
508,0
509,0
510,6
511,2
512,0
513,2
514,2
515,0
516,3
517,1
518,0
519,0
520,4
521,0
522,0
523,0
524,0
525,1
526,1
527,0
528,2
529,8
530,3
531,0
532,2
533,2
534,1
535,0
536,1
537,2
538,0
539,0
540,0
541,2
542,0
543,2
544,1
545,0
546,1
547,0
548,0
549,1
550,2
551,1
552,4
553,2
554,1
555,1
556,3
557,1
558,2
559,1
560,0
561,3
562,1
563,0
564,2
565,3
566,0
567,2
568,0
569,2
570,0
571,6
572,1
573,3
574,2
575,0
576,0
577,0
578,0
579,2
580,0
581,0
582,1
583,1
584,0
585,0
586,1
587,2
588,0
589,1
590,5
591,0
592,0
593,3
594,1
595,0
596,0
597,1
598,0
599,2
600,0
601,0
602,0
603,0
604,0
605,0
606,2
607,0
608,0
609,0
610,1
611,1
612,1
613,6
614,0
615,3
616,0
617,0
618,0
619,0
620,0
621,0
622,0
623,0
624,2
625,0
626,2
627,1
628,0
629,4
630,0
631,0
632,1
633,0
634,1
635,0
636,0
637,3
638,1
639,2
640,1
641,1
642,0
643,0
644,4
645,1
646,1
647,0
648,4
649,0
650,1
651,3
652,0
653,1
654,0
655,2
656,0
657,2
658,2
659,3
660,0
661,0
662,0
663,0
664,0
665,2
666,0
667,0
668,2
669,1
670,2
671,1
672,1
673,2
674,0
675,0
676,0
677,0
678,0
679,0
680,3
681,1
682,0
683,0
684,0
685,1
686,0
687,0
688,0
689,3
690,5
691,0
692,0
693,1
694,0
695,1
696,0
697,1
698,0
699,0
700,0
701,0
702,1
703,3
704,2
705,1
706,0
707,0
708,1
709,1
710,0
711,4
712,0
713,0
714,0
715,2
716,6
717,5
718,3
719,2
720,0
721,2
722,0
723,0
724,0
725,0
726,0
727,3
