time,data
533,1.000
534,1.000
535,1.000
536,1.000
537,1.000
538,0.971
539,1.000
540,1.000
541,1.000
542,1.000
543,1.000
544,1.000
545,1.000
546,1.000
547,1.000
548,1.000
549,1.000
550,0.987
551,0.994
552,0.984
553,1.000
554,0.972
555,1.000
556,0.967
557,1.000
558,0.984
559,1.000
560,1.000
561,0.921
562,0.989
563,1.000
564,0.966
565,1.000
566,1.000
567,1.000
568,1.000
569,0.984
570,1.000
571,0.963
572,1.000
573,0.947
574,0.999
575,0.971
576,1.000
577,1.000
578,1.000
579,1.000
580,0.972
581,0.991
582,0.987
583,1.000
584,1.000
585,1.000
586,1.000
587,1.000
588,0.984
589,1.000
590,0.984
591,1.000
592,1.000
593,0.990
594,1.000
595,0.997
596,1.000
597,1.000
598,1.000
599,0.976
600,1.000
601,1.000
602,1.000
603,1.000
604,1.000
605,1.000
606,0.987
607,0.967
608,1.000
609,1.000
610,1.000
611,0.993
612,1.000
613,0.981
614,1.000
615,1.000
616,0.996
617,1.000
618,0.997
619,0.998
620,0.990
621,0.993
622,1.000
623,1.000
624,1.000
625,1.000
626,1.000
627,0.999
628,1.000
629,0.962
630,0.994
631,1.000
632,0.879
633,1.000
634,0.994
635,1.000
636,0.934
637,0.989
638,1.000
639,0.960
640,1.000
641,0.986
642,1.000
643,1.000
644,0.973
645,0.987
646,1.000
647,0.995
648,1.000
649,1.000
650,0.941
651,1.000
652,1.000
653,1.000
654,1.000
655,0.986
656,1.000
657,1.000
658,1.000
659,0.960
660,1.000
661,1.000
662,1.000
663,1.000
664,1.000
665,1.000
666,0.883
667,0.983
668,0.971
669,1.000
670,0.997
671,1.000
672,1.000
673,0.997
674,1.000
675,1.000
676,1.000
677,1.000
678,1.000
679,0.946
680,0.993
681,1.000
682,0.999
683,1.000
684,1.000
685,1.000
686,1.000
687,1.000
688,1.000
689,0.997
690,0.990
691,0.973
692,1.000
693,1.000
694,0.991
695,1.000
696,0.938
697,0.976
698,1.000
699,1.000
700,1.000
701,1.000
702,0.990
703,1.000
704,0.984
705,1.000
706,1.000
707,1.000
708,1.000
709,1.000
710,1.000
711,0.994
712,1.000
713,0.994
714,0.999
715,1.000
716,0.953
717,1.000
718,1.000
719,0.995
720,1.000
721,1.000
722,1.000
723,1.000
724,1.000
725,0.932
726,1.000
727,0.970
728,1.000
729,0.995
730,1.000
731,1.000
732,1.000
733,0.992
734,1.000
735,1.000
736,1.000
737,1.000
738,0.977
739,0.970
740,1.000
741,0.949
742,1.000
743,1.000
744,1.000
745,1.000
746,0.988
747,0.985
748,1.000
749,1.000
750,0.986
751,0.993
752,0.987
753,1.000
754,1.000
755,1.000
756,1.000
757,0.966
758,1.000
759,0.981
760,0.981
761,1.000
762,1.000
763,0.950
764,1.000
765,1.000
766,0.974
767,1.000
768,1.000
769,1.000
770,0.971
771,1.000
772,1.000
773,1.000
774,1.000
775,0.979
776,1.000
777,0.986
778,1.000
779,1.000
780,1.000
781,1.000
782,0.997
783,1.000
784,1.000
785,1.000
786,1.000
787,0.990
788,1.000
789,0.955
790,0.971
791,1.000
792,0.953
793,1.000
794,1.000
795,0.963
796,0.985
797,1.000
798,1.000
799,1.000
800,0.995
801,1.000
802,0.987
803,1.000
804,1.000
805,1.000
806,0.986
807,0.994
808,1.000
809,0.999
810,0.993
811,0.998
812,0.976
813,1.000
814,1.000
815,1.000
816,0.992
817,1.000
818,1.000
819,1.000
820,0.989
821,1.000
822,1.000
823,0.998
824,1.000
825,0.949
826,0.993
827,0.989
828,1.000
829,1.000
830,1.000
831,1.000
832,1.000
833,1.000
834,1.000
835,1.000
836,1.000
837,1.000
838,0.989
839,1.000
840,1.000
841,1.000
842,1.000
843,1.000
844,1.000
845,1.000
846,1.000
847,1.000
848,0.992
849,0.981
850,0.998
851,0.996
852,0.996
853,1.000
854,1.000
855,0.985
856,1.000
857,0.969
858,1.000
859,0.994
860,1.000
861,1.000
862,0.932
863,0.997
864,1.000
865,1.000
866,1.000
867,1.000
868,0.948
869,1.000
870,1.000
871,1.000
872,1.000
873,0.961
874,1.000
875,1.000
876,1.000
877,0.985
878,0.980
879,1.000
880,1.000
881,0.992
882,0.997
883,1.000
884,1.000
885,1.000
886,0.992
887,1.000
888,0.954
889,1.000
890,1.000
891,0.966
892,1.000
893,0.982
894,1.000
895,1.000
896,0.997
897,1.000
898,1.000
899,1.000
900,1.000
901,1.000
902,1.000
903,1.000
904,0.997
905,1.000
906,0.954
907,1.000
908,0.960
909,0.991
910,1.000
911,0.948
912,1.000
913,1.000
914,1.000
915,0.958
916,1.000
917,1.000
918,1.000
919,1.000
920,1.000
921,1.000
922,0.969
923,0.993
924,0.992
925,1.000
926,1.000
927,1.000
928,1.000
929,1.000
930,1.000
931,1.000
932,1.000
933,1.000
934,0.998
935,0.927
936,1.000
937,1.000
938,1.000
939,1.000
940,1.000
941,1.000
942,0.970
943,1.000
944,1.000
945,1.000
946,1.000
947,1.000
948,1.000
949,0.986
950,1.000
951,0.999
952,1.000
953,0.988
954,1.000
955,1.000
956,1.000
957,1.000
958,1.000
959,0.969
960,0.974
961,0.984
962,1.000
963,0.972
964,0.998
965,1.000
966,0.979
967,1.000
968,1.000
969,1.000
970,1.000
971,0.998
972,1.000
973,1.000
974,1.000
975,1.000
976,1.000
977,1.000
978,1.000
979,1.000
980,1.000
981,1.000
982,1.000
983,1.000
984,0.976
985,0.994
986,0.969
987,0.997
988,1.000
989,1.000
990,1.000
991,1.000
992,1.000
993,1.000
994,0.976
995,1.000
996,1.000
997,1.000
998,0.990
999,0.994
1000,1.000
